NODES: 160
ARCS: 2996

NODE
Idn                                      x               y               Type           
2868     F_38                                     H_Bergamo_3_origin_21                    24.44                USED      
2871     F_38                                     H_Bergamo_3_origin_24                    24.44                USED      
2884     F_38                                     F_30                                     50.30                USED      
2893     H_Cremona_1_origin_17                    F_26                                     29.32                USED      
2921     H_Piacenza_1_origin_18                   F_10                                     47.03                USED      
2941     H_Milano_3_origin_16                     F_23                                     39.77                USED      
2956     H_Pavia_9_origin_65                      F_24                                     51.39                USED      
1        H_Pavia_5_origin_2                       H_Pavia_10_dest_66                       32.85                NOT USED  
2        H_Pavia_5_origin_2                       F_24                                     49.03                NOT USED  
3        H_Pavia_5_origin_2                       H_Pavia_1_dest_22                        8.42                 NOT USED  
4        H_Pavia_5_origin_2                       H_Pavia_9_origin_64                      33.42                NOT USED  
5        H_Pavia_5_origin_2                       H_Pavia_9_origin_32                      33.42                NOT USED  
6        H_Pavia_5_origin_2                       H_Pavia_9_dest_27                        33.42                NOT USED  
7        H_Pavia_5_origin_2                       H_Pavia_9_dest_54                        33.42                NOT USED  
8        H_Pavia_5_origin_2                       H_Pavia_5_origin_39                      0.00                 NOT USED  
9        H_Pavia_5_origin_2                       H_Pavia_9_origin_49                      33.42                NOT USED  
10       H_Pavia_5_origin_2                       H_Pavia_9_dest_37                        33.42                NOT USED  
11       H_Pavia_5_origin_2                       H_Pavia_10_origin_9                      32.85                NOT USED  
12       H_Pavia_5_origin_2                       H_Pavia_1_origin_54                      8.42                 NOT USED  
13       H_Pavia_5_origin_2                       H_Pavia_10_dest_63                       32.85                NOT USED  
14       H_Pavia_5_origin_2                       H_Pavia_9_dest_11                        33.42                NOT USED  
15       H_Pavia_5_origin_2                       H_Pavia_5_dest_18                        0.00                 NOT USED  
16       H_Pavia_5_origin_2                       H_Pavia_8_origin_36                      34.82                NOT USED  
17       H_Pavia_5_origin_2                       F_23                                     42.81                NOT USED  
18       H_Pavia_5_origin_2                       F_16                                     4.89                 NOT USED  
19       H_Pavia_5_origin_2                       H_Pavia_9_dest_9                         33.42                NOT USED  
20       H_Pavia_5_origin_2                       H_Pavia_5_origin_27                      0.00                 NOT USED  
21       H_Pavia_5_origin_2                       H_Pavia_8_origin_46                      34.82                NOT USED  
22       H_Pavia_5_origin_2                       H_Pavia_1_dest_4                         8.42                 NOT USED  
23       H_Pavia_5_origin_2                       H_Pavia_9_dest_61                        33.42                NOT USED  
24       H_Pavia_5_origin_2                       H_Pavia_9_dest_24                        33.42                NOT USED  
25       H_Pavia_5_origin_2                       H_Pavia_5_dest_64                        0.00                 NOT USED  
26       H_Pavia_5_origin_2                       H_Pavia_9_dest_50                        33.42                NOT USED  
28       H_Pavia_5_origin_2                       H_Pavia_5_dest_10                        0.00                 NOT USED  
29       H_Pavia_5_origin_2                       H_Pavia_1_origin_38                      8.42                 NOT USED  
30       H_Pavia_5_origin_2                       H_Pavia_9_dest_13                        33.42                NOT USED  
31       H_Pavia_5_origin_2                       F_10                                     46.78                NOT USED  
32       H_Pavia_5_origin_2                       H_Pavia_1_dest_3                         8.42                 NOT USED  
33       H_Pavia_5_origin_2                       H_Pavia_10_dest_26                       32.85                NOT USED  
34       H_Pavia_5_origin_2                       H_Pavia_9_origin_34                      33.42                NOT USED  
35       H_Pavia_5_origin_2                       H_Pavia_8_dest_62                        34.82                NOT USED  
36       H_Pavia_5_origin_2                       H_Pavia_8_origin_10                      34.82                NOT USED  
37       H_Pavia_5_origin_2                       F_17                                     24.44                NOT USED  
38       H_Pavia_5_origin_2                       H_Pavia_5_dest_69                        0.00                 NOT USED  
39       H_Pavia_5_origin_2                       H_Pavia_9_origin_6                       33.42                NOT USED  
40       H_Pavia_5_origin_2                       H_Pavia_1_dest_49                        8.42                 NOT USED  
41       H_Pavia_5_origin_2                       H_Pavia_5_dest_57                        0.00                 NOT USED  
42       H_Pavia_5_origin_2                       H_Pavia_1_dest_68                        8.42                 NOT USED  
43       H_Pavia_5_origin_2                       H_Pavia_1_dest_60                        8.42                 NOT USED  
44       H_Pavia_5_origin_2                       H_Pavia_9_origin_65                      33.42                NOT USED  
45       F_31                                     H_Bergamo_1_origin_30                    41.41                NOT USED  
49       F_31                                     H_Milano_3_origin_40                     48.65                NOT USED  
50       F_31                                     H_Milano_2_origin_29                     45.23                NOT USED  
51       F_31                                     H_Milano_1_origin_63                     45.24                NOT USED  
52       F_31                                     H_Milano_1_origin_53                     45.24                NOT USED  
